country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"ITO, Delhi - CPCB",2025-05-19 10:00:00,28.628624,77.24106,PM2.5,67.0,174.0,127.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2025-05-19 10:00:00,28.73282,77.170633,NH3,8.0,11.0,10.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2025-05-19 10:00:00,28.73282,77.170633,SO2,11.0,21.0,15.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",2025-05-19 10:00:00,28.73282,77.170633,CO,28.0,75.0,34.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2025-05-19 10:00:00,28.58028,77.233829,PM10,137.0,218.0,166.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2025-05-19 10:00:00,28.58028,77.233829,NO2,36.0,110.0,58.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",2025-05-19 10:00:00,28.58028,77.233829,NH3,10.0,23.0,15.0
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2025-05-19 10:00:00,26.2271665,84.3570427,NH3,1.0,1.0,1.0
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2025-05-19 10:00:00,26.2271665,84.3570427,SO2,7.0,9.0,8.0
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",2025-05-19 10:00:00,26.2271665,84.3570427,CO,66.0,100.0,88.0
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2025-05-19 10:00:00,30.735567,76.775714,CO,48.0,83.0,52.0
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",2025-05-19 10:00:00,30.735567,76.775714,OZONE,75.0,202.0,78.0
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2025-05-19 10:00:00,30.719859,76.738637,PM10,90.0,139.0,105.0
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",2025-05-19 10:00:00,30.719859,76.738637,CO,33.0,88.0,59.0
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",2025-05-19 10:00:00,22.348441,82.549611,SO2,5.0,14.0,9.0
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",2025-05-19 10:00:00,22.12665,83.483212,SO2,1.0,8.0,5.0
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",2025-05-19 10:00:00,22.1910172,83.5197009,CO,18.0,25.0,24.0
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",2025-05-19 10:00:00,21.258815,81.578979,PM2.5,28.0,60.0,43.0
